order_id,order_datetime,order_date,order_time,order_hour,order_dayofweek,day_name,is_weekend,is_holiday,kitchen_id,kitchen_name,zip_code,num_items,order_subtotal,net_payout,discount_applied,prep_time_min,delivery_time_min,total_delivery_time_min,avoidable_wait_min,confirmed_ready_time,dasher_arrival_time,pickup_time,delivery_time,order_status,rating,weather_condition,temperature_c,currency
37,2025-08-01 21:34:13,2025-08-01,21:34:13,21,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,12.99,11.38,False,22,23,48.7,3.7,2025-08-01 21:56:13,2025-08-01 21:55:13,2025-08-01 21:59:54.980032,2025-08-01 22:22:54.980032,Completed,4.0,Clear,28.0,USD
38,2025-08-01 21:10:28,2025-08-01,21:10:28,21,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,3,23.97,19.91,True,20,32,59.25,7.25,2025-08-01 21:30:28,2025-08-01 21:34:28,2025-08-01 21:37:43.152997,2025-08-01 22:09:43.152997,Cancelled,,Clear,28.0,USD
39,2025-08-01 22:52:35,2025-08-01,22:52:35,22,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,8.99,6.5,True,14,44,60.73,2.73,2025-08-01 23:06:35,2025-08-01 23:04:35,2025-08-01 23:09:18.511101,2025-08-01 23:53:18.511101,Completed,3.0,Clear,28.0,USD
40,2025-08-01 22:35:09,2025-08-01,22:35:09,22,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,2,19.98,16.52,False,22,24,50.73,4.73,2025-08-01 22:57:09,2025-08-01 22:58:09,2025-08-01 23:01:52.755291,2025-08-01 23:25:52.755291,Completed,4.0,Clear,28.0,USD
41,2025-08-01 22:31:16,2025-08-01,22:31:16,22,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,12.99,9.21,False,24,16,40.35,0.35,2025-08-01 22:55:16,2025-08-01 22:52:16,2025-08-01 22:55:37.256801,2025-08-01 23:11:37.256801,Completed,5.0,Clear,28.0,USD
42,2025-08-01 22:08:40,2025-08-01,22:08:40,22,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,2,19.48,13.67,True,22,20,53.98,11.98,2025-08-01 22:30:40,2025-08-01 22:39:40,2025-08-01 22:42:38.953714,2025-08-01 23:02:38.953714,Completed,3.0,Clear,28.0,USD
43,2025-08-02 10:57:09,2025-08-02,10:57:09,10,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,6.99,5.07,False,14,16,39.12,9.12,2025-08-02 11:11:09,2025-08-02 11:17:09,2025-08-02 11:20:16.277583,2025-08-02 11:36:16.277583,Completed,5.0,Clear,28.0,USD
44,2025-08-02 10:57:59,2025-08-02,10:57:59,10,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,10.99,8.24,True,20,42,62.55,0.55,2025-08-02 11:17:59,2025-08-02 11:13:59,2025-08-02 11:18:31.709652,2025-08-02 12:00:31.709652,Completed,5.0,Clear,28.0,USD
45,2025-08-02 11:49:35,2025-08-02,11:49:35,11,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,2,19.98,14.64,False,26,28,57.67,3.67,2025-08-02 12:15:35,2025-08-02 12:14:35,2025-08-02 12:19:14.956232,2025-08-02 12:47:14.956232,Completed,5.0,Clear,28.0,USD
46,2025-08-02 11:11:56,2025-08-02,11:11:56,11,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,6.99,6.19,False,13,15,31.81,3.81,2025-08-02 11:24:56,2025-08-02 11:24:56,2025-08-02 11:28:44.872407,2025-08-02 11:43:44.872407,Completed,4.0,Clear,28.0,USD
47,2025-08-02 11:55:47,2025-08-02,11:55:47,11,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,8.99,6.98,True,18,22,44.22,4.22,2025-08-02 12:13:47,2025-08-02 12:16:47,2025-08-02 12:17:59.983418,2025-08-02 12:39:59.983418,Completed,5.0,Clear,28.0,USD
48,2025-08-02 11:30:14,2025-08-02,11:30:14,11,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,4.99,4.36,False,6,41,58.07,11.07,2025-08-02 11:36:14,2025-08-02 11:45:14,2025-08-02 11:47:18.407775,2025-08-02 12:28:18.407775,Completed,5.0,Clear,28.0,USD
49,2025-08-02 11:42:12,2025-08-02,11:42:12,11,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,2,28.98,21.9,False,23,25,55.39,7.39,2025-08-02 12:05:12,2025-08-02 12:08:12,2025-08-02 12:12:35.375294,2025-08-02 12:37:35.375294,Cancelled,,Clear,28.0,USD
50,2025-08-02 12:25:43,2025-08-02,12:25:43,12,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,2,20.98,18.76,True,20,32,61.73,9.73,2025-08-02 12:45:43,2025-08-02 12:50:43,2025-08-02 12:55:26.594028,2025-08-02 13:27:26.594028,Completed,5.0,Clear,28.0,USD
51,2025-08-02 12:16:02,2025-08-02,12:16:02,12,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,3,22.97,18.08,False,14,34,58.06,10.06,2025-08-02 12:30:02,2025-08-02 12:38:02,2025-08-02 12:40:05.335520,2025-08-02 13:14:05.335520,Completed,5.0,Clear,28.0,USD
52,2025-08-02 12:07:24,2025-08-02,12:07:24,12,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,3,23.97,19.27,False,18,21,42.7,3.7,2025-08-02 12:25:24,2025-08-02 12:28:24,2025-08-02 12:29:05.984364,2025-08-02 12:50:05.984364,Completed,4.0,Clear,28.0,USD
53,2025-08-02 13:43:46,2025-08-02,13:43:46,13,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,2,20.98,17.47,False,19,38,60.14,3.14,2025-08-02 14:02:46,2025-08-02 14:03:46,2025-08-02 14:05:54.339797,2025-08-02 14:43:54.339797,Completed,5.0,Clear,28.0,USD
54,2025-08-02 13:20:42,2025-08-02,13:20:42,13,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,2,27.98,21.41,False,26,18,50.78,6.78,2025-08-02 13:46:42,2025-08-02 13:50:42,2025-08-02 13:53:28.923076,2025-08-02 14:11:28.923076,Completed,4.0,Clear,28.0,USD
55,2025-08-02 13:35:08,2025-08-02,13:35:08,13,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,4.49,3.7,False,6,28,44.55,10.55,2025-08-02 13:41:08,2025-08-02 13:48:08,2025-08-02 13:51:40.875845,2025-08-02 14:19:40.875845,Completed,5.0,Clear,28.0,USD
56,2025-08-02 13:35:53,2025-08-02,13:35:53,13,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,2,23.98,19.7,False,17,24,46.45,5.45,2025-08-02 13:52:53,2025-08-02 13:56:53,2025-08-02 13:58:19.749325,2025-08-02 14:22:19.749325,Completed,5.0,Clear,28.0,USD
57,2025-08-02 13:28:28,2025-08-02,13:28:28,13,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,2,27.98,23.7,False,25,21,60.07,14.07,2025-08-02 13:53:28,2025-08-02 14:03:28,2025-08-02 14:07:32.308558,2025-08-02 14:28:32.308558,Cancelled,,Clear,28.0,USD
58,2025-08-02 13:18:32,2025-08-02,13:18:32,13,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,2,12.98,9.7,False,15,35,55.92,5.92,2025-08-02 13:33:32,2025-08-02 13:38:32,2025-08-02 13:39:27.214544,2025-08-02 14:14:27.214544,Cancelled,,Clear,28.0,USD
59,2025-08-02 13:51:12,2025-08-02,13:51:12,13,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,13.99,12.17,True,18,15,30.6,0.0,2025-08-02 14:09:12,2025-08-02 14:05:12,2025-08-02 14:06:48.107487,2025-08-02 14:21:48.107487,Completed,5.0,Clear,28.0,USD
60,2025-08-02 14:26:56,2025-08-02,14:26:56,14,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,4.49,3.5,True,10,33,47.73,4.73,2025-08-02 14:36:56,2025-08-02 14:37:56,2025-08-02 14:41:39.953397,2025-08-02 15:14:39.953397,Completed,4.0,Clear,28.0,USD
61,2025-08-02 14:44:00,2025-08-02,14:44:00,14,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,13.99,12.04,False,23,42,67.0,2.0,2025-08-02 15:07:00,2025-08-02 15:05:00,2025-08-02 15:09:00.173510,2025-08-02 15:51:00.173510,Completed,5.0,Clear,28.0,USD
62,2025-08-02 15:29:03,2025-08-02,15:29:03,15,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,14.99,12.49,False,24,22,46.55,0.55,2025-08-02 15:53:03,2025-08-02 15:51:03,2025-08-02 15:53:36.244693,2025-08-02 16:15:36.244693,Completed,5.0,Clear,28.0,USD
63,2025-08-02 15:38:20,2025-08-02,15:38:20,15,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,2,22.98,18.41,False,24,43,79.26,12.26,2025-08-02 16:02:20,2025-08-02 16:11:20,2025-08-02 16:14:35.416127,2025-08-02 16:57:35.416127,Completed,5.0,Clear,28.0,USD
64,2025-08-02 16:35:28,2025-08-02,16:35:28,16,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,6.99,6.07,False,11,38,61.53,12.53,2025-08-02 16:46:28,2025-08-02 16:56:28,2025-08-02 16:58:59.518834,2025-08-02 17:36:59.518834,Completed,3.0,Clear,28.0,USD
65,2025-08-02 16:49:33,2025-08-02,16:49:33,16,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,3,23.97,18.15,False,21,35,59.74,3.74,2025-08-02 17:10:33,2025-08-02 17:12:33,2025-08-02 17:14:17.141311,2025-08-02 17:49:17.141311,Completed,4.0,Clear,28.0,USD
66,2025-08-02 17:20:57,2025-08-02,17:20:57,17,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,12.99,9.49,False,22,17,39.18,0.18,2025-08-02 17:42:57,2025-08-02 17:41:57,2025-08-02 17:43:07.724278,2025-08-02 18:00:07.724278,Completed,5.0,Clear,28.0,USD
67,2025-08-02 18:26:26,2025-08-02,18:26:26,18,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,2,17.98,14.1,False,16,32,59.37,11.37,2025-08-02 18:42:26,2025-08-02 18:51:26,2025-08-02 18:53:48.259043,2025-08-02 19:25:48.259043,Completed,3.0,Clear,28.0,USD
68,2025-08-02 18:37:44,2025-08-02,18:37:44,18,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,4.99,3.79,False,5,42,56.65,9.65,2025-08-02 18:42:44,2025-08-02 18:49:44,2025-08-02 18:52:22.784528,2025-08-02 19:34:22.784528,Completed,5.0,Clear,28.0,USD
69,2025-08-02 18:57:53,2025-08-02,18:57:53,18,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,6.99,5.57,False,13,32,49.7,4.7,2025-08-02 19:10:53,2025-08-02 19:12:53,2025-08-02 19:15:34.821959,2025-08-02 19:47:34.821959,Completed,5.0,Clear,28.0,USD
70,2025-08-02 18:42:43,2025-08-02,18:42:43,18,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,10.99,9.85,False,20,27,51.28,4.28,2025-08-02 19:02:43,2025-08-02 19:02:43,2025-08-02 19:06:59.936529,2025-08-02 19:33:59.936529,Completed,5.0,Clear,28.0,USD
71,2025-08-02 18:58:25,2025-08-02,18:58:25,18,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,14.99,13.09,True,24,33,52.88,0.0,2025-08-02 19:22:25,2025-08-02 19:17:25,2025-08-02 19:18:17.665815,2025-08-02 19:51:17.665815,Completed,5.0,Clear,28.0,USD
72,2025-08-02 18:16:24,2025-08-02,18:16:24,18,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,5.99,4.65,False,10,21,41.97,10.97,2025-08-02 18:26:24,2025-08-02 18:35:24,2025-08-02 18:37:22.248367,2025-08-02 18:58:22.248367,Completed,5.0,Clear,28.0,USD
73,2025-08-02 18:53:26,2025-08-02,18:53:26,18,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,4.99,3.54,False,7,41,47.62,0.0,2025-08-02 19:00:26,2025-08-02 18:57:26,2025-08-02 19:00:02.982846,2025-08-02 19:41:02.982846,Completed,5.0,Clear,28.0,USD
74,2025-08-02 19:14:41,2025-08-02,19:14:41,19,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,9.99,7.39,True,14,39,52.89,0.0,2025-08-02 19:28:41,2025-08-02 19:24:41,2025-08-02 19:28:34.642965,2025-08-02 20:07:34.642965,Completed,5.0,Clear,28.0,USD
75,2025-08-02 19:09:15,2025-08-02,19:09:15,19,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,14.99,12.59,False,21,30,52.04,1.04,2025-08-02 19:30:15,2025-08-02 19:28:15,2025-08-02 19:31:17.271787,2025-08-02 20:01:17.271787,Completed,5.0,Clear,28.0,USD
76,2025-08-02 19:10:38,2025-08-02,19:10:38,19,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,9.99,7.61,False,18,45,65.0,2.0,2025-08-02 19:28:38,2025-08-02 19:26:38,2025-08-02 19:30:38.003809,2025-08-02 20:15:38.003809,Completed,4.0,Clear,28.0,USD
77,2025-08-02 20:59:19,2025-08-02,20:59:19,20,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,6.99,5.0,False,14,36,59.28,9.28,2025-08-02 21:13:19,2025-08-02 21:20:19,2025-08-02 21:22:36.096699,2025-08-02 21:58:36.096699,Completed,5.0,Clear,28.0,USD
78,2025-08-02 20:40:15,2025-08-02,20:40:15,20,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,8.99,6.51,False,12,37,57.33,8.33,2025-08-02 20:52:15,2025-08-02 20:56:15,2025-08-02 21:00:34.579175,2025-08-02 21:37:34.579175,Completed,5.0,Clear,28.0,USD
79,2025-08-02 20:50:02,2025-08-02,20:50:02,20,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,4.49,3.72,True,7,32,50.48,11.48,2025-08-02 20:57:02,2025-08-02 21:05:02,2025-08-02 21:08:30.610762,2025-08-02 21:40:30.610762,Completed,4.0,Clear,28.0,USD
80,2025-08-02 20:26:52,2025-08-02,20:26:52,20,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,12.99,11.25,False,21,18,51.82,12.82,2025-08-02 20:47:52,2025-08-02 20:55:52,2025-08-02 21:00:41.412643,2025-08-02 21:18:41.412643,Completed,5.0,Clear,28.0,USD
81,2025-08-02 21:27:11,2025-08-02,21:27:11,21,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,2,14.48,12.38,False,19,31,56.27,6.27,2025-08-02 21:46:11,2025-08-02 21:49:11,2025-08-02 21:52:27.296336,2025-08-02 22:23:27.296336,Completed,5.0,Clear,28.0,USD
82,2025-08-02 21:52:46,2025-08-02,21:52:46,21,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,4.49,3.22,False,9,23,41.33,9.33,2025-08-02 22:01:46,2025-08-02 22:06:46,2025-08-02 22:11:05.962553,2025-08-02 22:34:05.962553,Completed,4.0,Clear,28.0,USD
83,2025-08-02 21:15:48,2025-08-02,21:15:48,21,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,3,31.97,24.46,False,21,33,63.01,9.01,2025-08-02 21:36:48,2025-08-02 21:43:48,2025-08-02 21:45:48.827087,2025-08-02 22:18:48.827087,Completed,5.0,Clear,28.0,USD
84,2025-08-02 21:22:51,2025-08-02,21:22:51,21,5,Saturday,True,False,39555939,Vel's Kitchen Indian,60642,1,4.99,3.77,True,7,25,39.46,7.46,2025-08-02 21:29:51,2025-08-02 21:32:51,2025-08-02 21:37:18.686395,2025-08-02 22:02:18.686395,Completed,5.0,Clear,28.0,USD
